               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097292,            0.069154,            0.061852,             0.77838,            0.043362,            0.021627,           0.0076623,            0.079612,            0.038244,             0.05571,            0.067142,           0.0003319,           0.0003319
                   1,            0.065041,            0.067141,            0.048811,             0.82433,             0.09146,            0.087628,            0.044598,            0.053439,            0.034513,            0.047355,            0.034135,          0.00065865,          0.00065865
                   2,            0.051926,            0.061445,            0.044056,             0.60702,             0.20949,             0.11999,            0.065009,            0.045189,            0.033478,            0.043439,           0.0011219,           0.0009788,           0.0009788
                   3,            0.046361,            0.059227,            0.040639,             0.69431,             0.23287,             0.15084,            0.085558,            0.040454,            0.032883,            0.040588,           0.0009703,           0.0009703,           0.0009703
                   4,            0.043069,            0.057926,            0.037889,             0.69872,             0.22869,             0.15951,            0.099539,            0.037189,            0.031847,             0.03871,           0.0009703,           0.0009703,           0.0009703
                   5,            0.040639,            0.055525,             0.03618,             0.71345,             0.22666,             0.16828,             0.10786,            0.035011,            0.031537,            0.037002,           0.0009604,           0.0009604,           0.0009604
                   6,            0.038849,            0.054842,            0.034454,             0.72468,             0.23891,             0.17931,             0.11707,            0.033981,            0.031117,            0.035806,           0.0009505,           0.0009505,           0.0009505
                   7,             0.03744,            0.053725,            0.033478,             0.73648,             0.23909,             0.18492,             0.12005,            0.032326,            0.030661,            0.034854,           0.0009406,           0.0009406,           0.0009406
                   8,            0.036674,            0.053794,            0.032388,             0.69284,             0.25681,             0.19613,             0.12903,            0.031673,             0.03116,            0.034072,           0.0009307,           0.0009307,           0.0009307
                   9,            0.035584,            0.052008,            0.031447,             0.74856,             0.26104,             0.20401,             0.13438,            0.031546,            0.030884,            0.033366,           0.0009208,           0.0009208,           0.0009208
                  10,             0.03464,            0.052534,            0.030901,             0.72098,             0.26506,             0.21187,             0.14288,             0.03042,            0.030275,            0.032793,           0.0009109,           0.0009109,           0.0009109
                  11,            0.033953,            0.051634,              0.0302,             0.63149,             0.27756,             0.21738,             0.15118,            0.029482,            0.030181,            0.032208,            0.000901,            0.000901,            0.000901
                  12,            0.033364,            0.051477,            0.029924,             0.63233,             0.28704,              0.2248,             0.15375,            0.029233,            0.030168,            0.031765,           0.0008911,           0.0008911,           0.0008911
                  13,            0.032669,            0.050889,            0.029326,             0.62638,             0.29749,             0.22373,             0.15325,            0.029161,            0.030079,             0.03122,           0.0008812,           0.0008812,           0.0008812
                  14,            0.032223,            0.050414,            0.028928,             0.63665,             0.29182,             0.23006,              0.1583,            0.028358,            0.029722,            0.030744,           0.0008713,           0.0008713,           0.0008713
                  15,            0.031624,            0.050025,             0.02842,             0.55777,             0.30504,             0.23615,             0.16271,            0.028251,            0.030087,            0.030226,           0.0008614,           0.0008614,           0.0008614
                  16,            0.031348,             0.04997,             0.02817,              0.5517,             0.33797,             0.24145,              0.1678,            0.028029,            0.030298,            0.029986,           0.0008515,           0.0008515,           0.0008515
                  17,            0.030892,             0.04906,            0.027581,             0.55394,             0.33436,             0.24431,             0.16676,            0.028047,            0.029625,            0.029573,           0.0008416,           0.0008416,           0.0008416
                  18,            0.030452,            0.049127,            0.027316,              0.5597,             0.34501,             0.24567,              0.1718,             0.02747,            0.029575,            0.029394,           0.0008317,           0.0008317,           0.0008317
                  19,            0.030436,            0.048386,             0.02698,             0.56832,             0.34936,             0.25071,             0.17431,            0.027293,            0.029689,            0.028864,           0.0008218,           0.0008218,           0.0008218
                  20,            0.029945,            0.048849,            0.026782,             0.56569,             0.35817,             0.25291,             0.17494,            0.027221,            0.029377,            0.028696,           0.0008119,           0.0008119,           0.0008119
                  21,            0.029684,             0.04789,            0.026488,             0.57024,             0.36064,             0.25426,             0.17672,            0.027343,            0.029917,            0.028422,            0.000802,            0.000802,            0.000802
                  22,            0.029317,            0.048326,            0.026044,             0.57056,             0.37141,             0.26094,              0.1819,            0.026761,            0.029337,            0.027862,           0.0007921,           0.0007921,           0.0007921
                  23,            0.029173,             0.04807,            0.025659,             0.58476,             0.36706,             0.26636,              0.1851,            0.026478,            0.029764,            0.027666,           0.0007822,           0.0007822,           0.0007822
                  24,            0.028726,            0.047214,            0.025544,             0.59148,             0.35969,             0.27146,             0.18763,            0.026414,            0.029243,            0.027488,           0.0007723,           0.0007723,           0.0007723
                  25,            0.028639,            0.047328,            0.024981,             0.58536,             0.37042,             0.27295,             0.19036,            0.026651,            0.029462,            0.027165,           0.0007624,           0.0007624,           0.0007624
                  26,            0.028299,            0.046326,            0.025026,             0.59313,             0.37073,             0.27617,             0.19312,            0.026245,            0.029282,            0.026828,           0.0007525,           0.0007525,           0.0007525
                  27,            0.028157,            0.046945,            0.024249,             0.60189,              0.3573,             0.27929,             0.19542,             0.02598,            0.029218,            0.026841,           0.0007426,           0.0007426,           0.0007426
                  28,            0.027783,            0.046722,            0.024389,             0.60608,             0.35573,             0.28076,             0.19881,            0.026215,            0.029465,            0.026449,           0.0007327,           0.0007327,           0.0007327
                  29,            0.027882,            0.046166,            0.024014,             0.61237,             0.35447,             0.28579,             0.20012,            0.025897,            0.029116,            0.026358,           0.0007228,           0.0007228,           0.0007228
                  30,             0.02739,            0.046613,            0.023861,             0.61923,             0.35133,             0.28597,             0.19864,            0.026024,            0.029103,            0.026141,           0.0007129,           0.0007129,           0.0007129
                  31,            0.027607,            0.046619,            0.023352,             0.62437,             0.35801,             0.29146,             0.20493,            0.025647,            0.029036,            0.025901,            0.000703,            0.000703,            0.000703
                  32,            0.027148,            0.045849,            0.023066,             0.61257,             0.36881,              0.2955,               0.206,            0.025666,             0.02912,            0.025685,           0.0006931,           0.0006931,           0.0006931
