               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10867,            0.060625,            0.066441,           0.0014191,              0.1145,           0.0024514,          0.00056542,            0.095132,            0.033077,            0.059665,            0.067559,          0.00032768,          0.00032768
                   1,            0.081049,            0.068094,            0.053086,             0.80339,            0.071188,            0.048967,            0.018999,            0.066875,             0.04307,            0.051851,            0.034553,          0.00065447,          0.00065447
                   2,            0.058988,            0.062133,            0.046393,             0.50132,             0.20087,            0.085278,            0.034623,            0.056468,            0.033434,            0.045506,           0.0015396,          0.00097466,          0.00097466
                   3,              0.0505,            0.060343,            0.042346,             0.49658,             0.22999,             0.12051,            0.056705,             0.04718,             0.03326,             0.04245,           0.0009703,           0.0009703,           0.0009703
                   4,            0.046814,            0.058866,            0.040187,             0.52542,             0.22142,             0.13072,            0.065155,            0.045461,            0.031347,            0.040833,           0.0009703,           0.0009703,           0.0009703
                   5,             0.04436,            0.057039,            0.038953,              0.6555,             0.22694,             0.13978,            0.067525,            0.043202,            0.030663,            0.039454,           0.0009604,           0.0009604,           0.0009604
                   6,            0.042509,            0.056875,             0.03765,             0.66837,             0.22486,             0.14863,              0.0841,             0.04127,            0.030075,            0.038889,           0.0009505,           0.0009505,           0.0009505
                   7,            0.041403,            0.056033,            0.036814,              0.6926,             0.21937,             0.15715,            0.089446,            0.039028,            0.030148,            0.037974,           0.0009406,           0.0009406,           0.0009406
                   8,            0.040469,            0.055752,            0.035988,             0.61826,             0.23124,             0.16101,            0.094682,            0.037814,            0.030445,            0.037732,           0.0009307,           0.0009307,           0.0009307
                   9,            0.039538,            0.055033,            0.034834,             0.66165,             0.22601,             0.16761,             0.10053,            0.036221,            0.030284,            0.036787,           0.0009208,           0.0009208,           0.0009208
                  10,            0.038882,            0.055267,             0.03409,             0.65701,             0.22831,             0.17013,             0.10159,            0.037714,            0.029777,            0.036169,           0.0009109,           0.0009109,           0.0009109
                  11,            0.038275,            0.054263,            0.033198,             0.64099,             0.22478,             0.17671,             0.10614,            0.035611,            0.030009,              0.0362,            0.000901,            0.000901,            0.000901
                  12,            0.037539,            0.054676,            0.032731,             0.65002,             0.22641,              0.1772,              0.1061,            0.036657,            0.029131,             0.03528,           0.0008911,           0.0008911,           0.0008911
                  13,            0.036938,            0.053832,            0.032152,             0.64955,             0.22288,             0.17812,             0.10872,            0.035646,             0.02984,            0.035318,           0.0008812,           0.0008812,           0.0008812
                  14,            0.036595,             0.05429,            0.032099,             0.66166,             0.23275,             0.18778,             0.12142,            0.032865,             0.02983,            0.034545,           0.0008713,           0.0008713,           0.0008713
                  15,            0.036274,            0.053464,            0.031628,             0.65943,             0.22786,             0.18498,             0.11755,            0.034335,            0.029369,            0.034417,           0.0008614,           0.0008614,           0.0008614
                  16,            0.035524,            0.053047,            0.031546,             0.66488,             0.23062,             0.19043,             0.11502,            0.034564,            0.029115,            0.033975,           0.0008515,           0.0008515,           0.0008515
                  17,            0.035241,            0.052645,            0.030796,             0.74799,             0.23031,             0.19269,             0.11889,            0.033602,            0.029466,            0.033875,           0.0008416,           0.0008416,           0.0008416
