               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062197,            0.019937,            0.025085,             0.35914,             0.39803,             0.20762,            0.096497,            0.046589,            0.014624,            0.020504,            0.067174,          0.00033158,          0.00033158
                   1,            0.053476,             0.01742,            0.018921,             0.43981,             0.35621,             0.27807,             0.12225,            0.048516,            0.016056,            0.017521,            0.034168,          0.00065893,          0.00065893
                   2,            0.052018,            0.017473,            0.015369,             0.55894,             0.44932,             0.41166,             0.22396,            0.041101,            0.014372,            0.014233,           0.0011557,          0.00098028,          0.00098028
                   3,            0.047847,            0.016828,            0.012518,             0.68024,              0.4711,             0.49527,             0.26668,            0.040062,            0.013562,            0.010084,            0.000973,            0.000973,            0.000973
                   4,            0.047116,            0.017106,            0.010863,             0.69361,             0.55333,             0.56528,             0.32462,            0.036533,            0.011806,           0.0084045,            0.000973,            0.000973,            0.000973
                   5,            0.044262,            0.015579,           0.0092384,             0.72685,             0.52815,             0.57113,             0.35135,             0.03497,            0.012669,           0.0073496,            0.000964,            0.000964,            0.000964
                   6,            0.044408,            0.016158,           0.0089606,             0.73092,             0.58725,             0.63255,             0.38931,            0.034222,            0.011471,           0.0054238,            0.000955,            0.000955,            0.000955
                   7,            0.042988,            0.015674,           0.0081707,             0.69486,             0.54045,             0.55594,             0.34359,            0.035078,            0.012126,            0.011887,            0.000946,            0.000946,            0.000946
                   8,            0.042299,            0.015838,           0.0080736,             0.73789,             0.58234,             0.62178,              0.3983,            0.032484,            0.011763,           0.0061062,            0.000937,            0.000937,            0.000937
                   9,            0.042387,             0.01547,           0.0078473,             0.57937,             0.66075,             0.65193,             0.41079,            0.032133,            0.011164,           0.0045992,            0.000928,            0.000928,            0.000928
                  10,            0.040853,            0.015143,           0.0072045,             0.58018,             0.66242,             0.63925,             0.39984,            0.032167,            0.011105,           0.0062444,            0.000919,            0.000919,            0.000919
                  11,            0.040517,            0.015337,           0.0062717,             0.79925,              0.6436,             0.69528,             0.44566,            0.030416,            0.010748,           0.0030015,             0.00091,             0.00091,             0.00091
                  12,            0.039709,            0.014839,            0.006235,             0.69204,             0.70298,             0.70429,              0.4564,            0.030671,            0.010291,           0.0037136,            0.000901,            0.000901,            0.000901
                  13,              0.0396,            0.014868,           0.0063816,             0.60939,             0.70598,             0.69954,             0.45587,            0.029864,            0.010872,            0.002731,            0.000892,            0.000892,            0.000892
                  14,            0.038857,            0.014785,           0.0057904,             0.62818,             0.72167,             0.71133,              0.4608,            0.029237,             0.01037,            0.002959,            0.000883,            0.000883,            0.000883
                  15,            0.038885,            0.014736,           0.0059539,              0.6207,             0.67383,             0.68001,             0.43774,             0.03082,             0.01065,            0.003995,            0.000874,            0.000874,            0.000874
                  16,            0.038589,            0.014129,           0.0059029,             0.64141,             0.73035,             0.71024,             0.46954,            0.029064,            0.010261,            0.004158,            0.000865,            0.000865,            0.000865
                  17,            0.037969,            0.014245,           0.0056657,             0.65351,             0.73334,             0.74094,             0.49132,            0.028455,            0.010159,           0.0024855,            0.000856,            0.000856,            0.000856
                  18,            0.038028,            0.014455,            0.005489,             0.69629,             0.71396,             0.72583,             0.48627,            0.028267,            0.010224,           0.0030787,            0.000847,            0.000847,            0.000847
                  19,            0.037849,            0.014274,           0.0053106,             0.66368,             0.72091,              0.7334,             0.49807,             0.02738,            0.010012,           0.0026954,            0.000838,            0.000838,            0.000838
                  20,             0.03747,            0.014446,            0.005115,             0.70576,             0.75147,             0.75181,             0.50312,            0.027672,           0.0098272,           0.0024492,            0.000829,            0.000829,            0.000829
                  21,            0.037097,            0.014292,            0.005188,             0.82493,             0.67822,             0.73531,             0.49466,            0.027397,            0.009884,           0.0024821,             0.00082,             0.00082,             0.00082
                  22,            0.037018,            0.014036,           0.0052537,             0.67314,             0.72773,             0.71823,             0.49389,            0.027183,           0.0099721,           0.0028015,            0.000811,            0.000811,            0.000811
                  23,            0.036614,            0.014142,           0.0048998,             0.71285,             0.73006,             0.75552,             0.51765,            0.026833,           0.0098442,           0.0018405,            0.000802,            0.000802,            0.000802
                  24,            0.036168,            0.013721,           0.0047239,             0.73509,             0.76355,             0.76282,             0.52061,            0.026646,           0.0096612,           0.0017792,            0.000793,            0.000793,            0.000793
                  25,            0.036377,            0.013967,           0.0044862,             0.71709,             0.74623,             0.74539,              0.5122,            0.026476,           0.0097611,           0.0017895,            0.000784,            0.000784,            0.000784
                  26,             0.03548,            0.013678,           0.0044694,             0.70752,             0.75616,              0.7538,             0.52439,            0.025959,           0.0097098,           0.0015434,            0.000775,            0.000775,            0.000775
                  27,            0.035003,            0.013602,           0.0047165,             0.70999,             0.78923,              0.7755,             0.53373,            0.026132,           0.0095308,           0.0016145,            0.000766,            0.000766,            0.000766
                  28,            0.035244,            0.013192,           0.0047621,             0.71929,             0.74461,             0.76888,             0.53042,            0.026156,           0.0095583,           0.0019707,            0.000757,            0.000757,            0.000757
                  29,            0.035268,            0.013554,           0.0043754,              0.7213,             0.76716,             0.77116,             0.52802,            0.025874,            0.009465,           0.0015258,            0.000748,            0.000748,            0.000748
