               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067878,            0.020437,             0.02376,             0.27592,             0.20373,            0.055469,            0.020086,            0.076403,            0.042323,            0.026215,            0.070158,           0.0033158,           0.0033158
                   1,            0.064034,            0.019732,            0.021414,             0.31857,             0.17841,            0.086881,            0.029232,            0.067902,            0.023235,            0.023221,            0.040098,           0.0065893,           0.0065893
                   2,            0.061518,            0.019456,            0.020703,             0.35805,             0.27142,             0.15243,            0.058917,            0.060648,            0.021545,            0.019735,           0.0099782,           0.0098028,           0.0098028
                   3,            0.058408,            0.018995,            0.019325,             0.41475,             0.28619,             0.19137,            0.086208,             0.05431,            0.020709,            0.019363,             0.00973,             0.00973,             0.00973
                   4,              0.0549,            0.018891,            0.017559,             0.32874,             0.36246,             0.27676,             0.13073,            0.049754,            0.014374,            0.018551,             0.00973,             0.00973,             0.00973
                   5,            0.052272,            0.017595,            0.016342,             0.59129,             0.43106,             0.40435,              0.2156,            0.042311,            0.016561,            0.013488,             0.00964,             0.00964,             0.00964
                   6,            0.051999,            0.018016,             0.01529,              0.6261,             0.42644,             0.43992,             0.22855,            0.042675,            0.013281,            0.012389,             0.00955,             0.00955,             0.00955
                   7,            0.050467,            0.017525,            0.013836,             0.61096,             0.46322,             0.45377,             0.25085,            0.041985,            0.013647,            0.011771,             0.00946,             0.00946,             0.00946
                   8,            0.048863,            0.017556,              0.0128,             0.63601,             0.50681,              0.4855,             0.27377,             0.03968,             0.01325,            0.011314,             0.00937,             0.00937,             0.00937
                   9,            0.049203,            0.017421,            0.012519,              0.5707,             0.41397,              0.3863,             0.20961,            0.044462,                 nan,            0.015966,             0.00928,             0.00928,             0.00928
                  10,            0.048144,            0.017223,            0.012158,             0.65474,              0.5172,             0.53434,              0.3059,            0.038544,            0.012611,           0.0084226,             0.00919,             0.00919,             0.00919
                  11,            0.047411,            0.017293,            0.010597,             0.68586,             0.53424,             0.54994,             0.30959,             0.03796,            0.013333,           0.0074806,              0.0091,              0.0091,              0.0091
                  12,             0.04614,            0.016867,            0.010213,             0.65535,             0.54567,             0.54934,             0.31929,            0.035903,            0.012145,           0.0092257,             0.00901,             0.00901,             0.00901
                  13,            0.045918,             0.01667,            0.010208,             0.60144,              0.6028,             0.60682,             0.36187,            0.035506,             0.01232,           0.0059379,             0.00892,             0.00892,             0.00892
                  14,            0.044844,            0.016567,            0.008913,             0.71136,             0.56387,             0.60397,             0.36845,            0.034629,             0.01173,           0.0069644,             0.00883,             0.00883,             0.00883
                  15,            0.045005,            0.016611,           0.0091834,             0.60606,             0.41979,              0.4152,             0.22818,            0.042492,             0.01399,            0.015591,             0.00874,             0.00874,             0.00874
                  16,            0.045446,            0.016225,            0.010052,             0.58026,             0.30351,             0.31595,             0.15931,                 nan,                 nan,              1.5157,             0.00865,             0.00865,             0.00865
                  17,            0.046395,            0.017067,             0.01081,             0.55038,             0.60433,             0.59133,             0.36259,            0.035084,             0.01215,           0.0068766,             0.00856,             0.00856,             0.00856
                  18,            0.044828,            0.016693,           0.0089626,             0.71194,             0.56522,             0.61509,             0.37387,            0.033962,            0.012125,           0.0050488,             0.00847,             0.00847,             0.00847
                  19,            0.044387,            0.016421,           0.0086451,             0.57424,             0.58711,             0.60764,             0.37092,            0.034233,            0.012086,           0.0067788,             0.00838,             0.00838,             0.00838
                  20,            0.043586,            0.016408,           0.0080874,             0.79154,             0.56784,             0.63871,             0.39683,            0.032966,             0.01164,            0.004459,             0.00829,             0.00829,             0.00829
                  21,            0.043468,            0.016249,           0.0081782,             0.73971,             0.57484,             0.61804,              0.3884,            0.032934,            0.011715,            0.004972,              0.0082,              0.0082,              0.0082
                  22,            0.042965,            0.015966,           0.0086006,             0.77138,             0.58826,                0.64,             0.40172,             0.03289,            0.011481,           0.0052465,             0.00811,             0.00811,             0.00811
                  23,             0.04243,            0.015842,           0.0075717,             0.63145,             0.65894,             0.66033,              0.4129,            0.031504,             0.01136,           0.0048608,             0.00802,             0.00802,             0.00802
                  24,            0.041692,            0.015503,           0.0073586,             0.73384,             0.63522,             0.66734,             0.42916,            0.031005,            0.011312,            0.003789,             0.00793,             0.00793,             0.00793
                  25,            0.042099,            0.015737,           0.0071492,             0.78819,             0.61399,             0.67687,             0.43465,            0.030776,            0.010946,           0.0037811,             0.00784,             0.00784,             0.00784
                  26,            0.041021,            0.015372,            0.006943,             0.77314,             0.64465,             0.68816,             0.44527,            0.030329,             0.01087,           0.0036891,             0.00775,             0.00775,             0.00775
                  27,            0.040777,            0.015377,           0.0070886,             0.71092,             0.67542,             0.69759,             0.45583,            0.029968,            0.010715,           0.0041265,             0.00766,             0.00766,             0.00766
