               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062356,            0.018637,            0.022877,             0.27221,             0.51034,             0.29475,             0.13142,            0.047053,            0.011305,             0.01941,             0.06718,          0.00033151,          0.00033151
                   1,            0.053038,             0.01539,            0.017234,             0.33108,             0.49862,             0.38073,             0.18626,            0.046633,            0.018081,            0.018818,            0.034174,          0.00065886,          0.00065886
                   2,            0.050342,            0.015305,             0.01356,              0.5716,             0.55428,             0.56851,             0.31709,             0.03891,            0.011262,            0.010901,           0.0011624,          0.00098021,          0.00098021
                   3,            0.046895,            0.015034,            0.011097,             0.64744,              0.6415,             0.66299,              0.3883,            0.036821,            0.010843,            0.010077,            0.000973,            0.000973,            0.000973
                   4,            0.045381,            0.014411,           0.0096921,             0.63428,             0.68034,             0.69557,             0.42904,            0.033775,            0.010536,           0.0078337,            0.000973,            0.000973,            0.000973
                   5,            0.043636,            0.014298,           0.0084172,             0.73433,             0.70073,             0.75773,             0.48897,            0.031961,           0.0099512,           0.0056464,            0.000964,            0.000964,            0.000964
                   6,             0.04189,            0.013897,           0.0079529,             0.69776,             0.70713,             0.74814,             0.48504,            0.031603,           0.0096814,           0.0057059,            0.000955,            0.000955,            0.000955
                   7,            0.041469,            0.013979,           0.0074709,             0.74409,             0.73425,             0.78312,             0.52422,            0.028979,           0.0096121,           0.0043928,            0.000946,            0.000946,            0.000946
                   8,            0.040888,            0.013774,           0.0072081,             0.74374,             0.75753,              0.7887,             0.52099,            0.029437,           0.0090486,           0.0049439,            0.000937,            0.000937,            0.000937
                   9,             0.03989,            0.013474,           0.0068302,             0.73729,             0.75435,             0.80135,             0.53762,            0.028666,           0.0093977,           0.0037857,            0.000928,            0.000928,            0.000928
                  10,            0.038191,            0.013007,           0.0064622,             0.72522,             0.72665,             0.78399,             0.51725,            0.029346,           0.0099036,           0.0041546,            0.000919,            0.000919,            0.000919
                  11,            0.039059,            0.013396,             0.00615,             0.78362,             0.79334,             0.83664,              0.5805,            0.027358,           0.0088708,           0.0039436,             0.00091,             0.00091,             0.00091
                  12,            0.038293,            0.012974,           0.0058254,             0.79059,             0.81705,             0.85931,             0.60513,            0.026348,           0.0085874,           0.0025443,            0.000901,            0.000901,            0.000901
                  13,            0.037881,            0.012919,           0.0057003,             0.76812,             0.78224,             0.81807,             0.56728,             0.02745,           0.0088201,           0.0044224,            0.000892,            0.000892,            0.000892
                  14,            0.037847,            0.013221,           0.0057533,             0.79634,             0.79131,             0.84062,             0.59134,            0.026612,           0.0089375,           0.0024576,            0.000883,            0.000883,            0.000883
                  15,            0.037428,            0.012892,           0.0051631,             0.82455,             0.83565,             0.86663,             0.61051,            0.025885,           0.0083962,           0.0023255,            0.000874,            0.000874,            0.000874
                  16,            0.036655,            0.012672,           0.0053155,             0.80369,             0.81947,             0.86182,             0.60635,            0.025905,           0.0083955,           0.0023845,            0.000865,            0.000865,            0.000865
                  17,             0.03606,            0.012481,           0.0051238,             0.79896,             0.83685,             0.86276,             0.61318,            0.025561,           0.0083694,           0.0023409,            0.000856,            0.000856,            0.000856
                  18,            0.036268,            0.012553,           0.0050832,             0.79138,             0.81839,             0.86096,             0.61669,            0.025124,           0.0084505,           0.0021187,            0.000847,            0.000847,            0.000847
                  19,            0.035801,            0.012408,           0.0048744,             0.81626,             0.84223,             0.86695,             0.62723,            0.025031,           0.0083168,           0.0019147,            0.000838,            0.000838,            0.000838
                  20,            0.035711,            0.012469,           0.0047123,             0.81496,             0.84524,              0.8748,             0.62434,            0.024911,           0.0081666,           0.0017342,            0.000829,            0.000829,            0.000829
                  21,            0.035801,            0.012403,           0.0045749,             0.80958,             0.83904,             0.87062,             0.63418,            0.024806,           0.0081501,           0.0014287,             0.00082,             0.00082,             0.00082
                  22,            0.035556,            0.012415,           0.0045131,             0.80641,             0.83756,             0.86946,             0.63846,            0.023909,           0.0081812,           0.0022669,            0.000811,            0.000811,            0.000811
                  23,             0.03477,            0.012051,           0.0044507,             0.83734,             0.84235,             0.88104,             0.65082,            0.023429,           0.0079037,           0.0016743,            0.000802,            0.000802,            0.000802
                  24,            0.034485,            0.012134,           0.0045199,             0.82526,             0.84604,             0.87691,             0.65256,            0.023521,           0.0080961,           0.0015314,            0.000793,            0.000793,            0.000793
                  25,            0.034408,             0.01195,           0.0042911,             0.82769,             0.84893,             0.87822,             0.63188,            0.023985,           0.0079834,            0.001731,            0.000784,            0.000784,            0.000784
                  26,            0.034561,            0.012382,           0.0041574,             0.83974,             0.85079,             0.88388,             0.66562,            0.022724,           0.0077974,           0.0014806,            0.000775,            0.000775,            0.000775
                  27,            0.034602,            0.011947,           0.0042319,             0.81395,             0.85103,             0.87897,             0.63933,            0.024016,           0.0079022,            0.001446,            0.000766,            0.000766,            0.000766
                  28,            0.033616,            0.012082,           0.0039434,             0.84807,             0.85466,             0.88837,             0.66538,            0.022445,           0.0077038,           0.0015941,            0.000757,            0.000757,            0.000757
                  29,            0.032939,            0.011603,           0.0040108,             0.83696,             0.87074,             0.89181,             0.65622,            0.022906,           0.0078373,            0.001227,            0.000748,            0.000748,            0.000748
                  30,             0.03355,            0.011792,           0.0037752,             0.83773,             0.85612,             0.88689,             0.67436,            0.022648,           0.0079803,           0.0010762,            0.000739,            0.000739,            0.000739
                  31,            0.032468,            0.011543,            0.003773,             0.83793,             0.87205,             0.89238,             0.66641,            0.022749,           0.0076307,           0.0012557,             0.00073,             0.00073,             0.00073
                  32,             0.03313,            0.011659,            0.003705,             0.85083,             0.87155,             0.89563,             0.68096,            0.022414,           0.0075739,           0.0011287,            0.000721,            0.000721,            0.000721
                  33,             0.03308,            0.011884,           0.0036322,             0.84658,             0.84775,             0.89229,              0.6723,            0.022126,           0.0075122,           0.0014257,            0.000712,            0.000712,            0.000712
                  34,            0.033233,            0.011853,           0.0036661,             0.85618,             0.87725,              0.8983,             0.68367,            0.022134,           0.0076464,           0.0010741,            0.000703,            0.000703,            0.000703
                  35,            0.031933,            0.011421,           0.0036016,             0.83882,             0.87832,             0.89518,             0.67712,            0.022246,           0.0075401,          0.00087916,            0.000694,            0.000694,            0.000694
                  36,            0.032384,            0.011338,           0.0034586,             0.84813,             0.88242,             0.89635,             0.68727,            0.021726,           0.0074833,           0.0010549,            0.000685,            0.000685,            0.000685
                  37,            0.032395,             0.01182,           0.0032861,             0.85264,              0.8775,             0.90219,             0.68158,            0.021447,           0.0074105,          0.00089846,            0.000676,            0.000676,            0.000676
                  38,            0.032345,            0.011664,           0.0033467,             0.85745,             0.88404,             0.90255,             0.69359,            0.021611,           0.0073222,           0.0010486,            0.000667,            0.000667,            0.000667
                  39,            0.031792,            0.011527,           0.0032473,             0.85046,             0.87912,             0.89876,              0.6894,            0.021533,           0.0074585,          0.00093177,            0.000658,            0.000658,            0.000658
                  40,            0.032167,            0.011412,           0.0034247,             0.85119,             0.88472,             0.89998,             0.69858,            0.021422,            0.007312,          0.00091922,            0.000649,            0.000649,            0.000649
                  41,            0.031893,            0.011501,           0.0032266,             0.85675,             0.88032,             0.89866,             0.68409,            0.021788,           0.0074331,           0.0011568,             0.00064,             0.00064,             0.00064
                  42,            0.031898,             0.01162,           0.0033533,             0.84756,             0.87048,             0.88921,             0.69053,            0.021657,           0.0075637,          0.00082181,            0.000631,            0.000631,            0.000631
