               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058691,            0.017233,            0.021487,             0.31348,             0.51064,             0.34148,             0.17749,            0.042615,             0.01327,            0.018982,            0.067072,           0.0003326,           0.0003326
                   1,            0.052096,            0.015842,            0.017263,             0.50751,             0.48039,             0.48767,             0.27444,            0.040213,            0.011842,            0.014678,            0.034066,          0.00065994,          0.00065994
                   2,            0.050144,             0.01572,            0.014084,             0.61415,             0.59133,             0.62575,             0.33327,            0.038901,            0.011857,             0.01213,           0.0010542,          0.00098128,          0.00098128
                   3,             0.04795,            0.015391,            0.012142,             0.59618,             0.62834,             0.62004,             0.34549,            0.037964,            0.011057,            0.010763,            0.000973,            0.000973,            0.000973
                   4,            0.046134,            0.014903,            0.011185,             0.67718,              0.6812,             0.71012,             0.43438,            0.033777,             0.01059,           0.0082191,            0.000973,            0.000973,            0.000973
                   5,            0.044097,            0.014626,           0.0098005,             0.70809,             0.68043,             0.73649,              0.4664,            0.032486,            0.010452,           0.0061438,            0.000964,            0.000964,            0.000964
                   6,            0.042082,            0.014376,            0.008843,             0.70244,             0.74074,             0.77641,             0.50723,            0.030319,            0.010027,           0.0043764,            0.000955,            0.000955,            0.000955
                   7,            0.041895,            0.014323,           0.0085873,             0.72278,             0.73462,             0.76439,             0.49654,            0.029605,            0.010406,           0.0052886,            0.000946,            0.000946,            0.000946
                   8,            0.040152,            0.013633,           0.0077067,             0.75679,             0.76785,             0.81394,             0.54504,             0.02873,           0.0094076,            0.003618,            0.000937,            0.000937,            0.000937
                   9,            0.039721,            0.013799,           0.0073954,             0.77765,             0.75905,             0.80958,             0.53504,            0.028398,           0.0094902,            0.004153,            0.000928,            0.000928,            0.000928
                  10,            0.038685,            0.013279,           0.0072182,             0.72753,             0.74878,             0.79618,              0.5482,            0.027505,           0.0097282,           0.0037498,            0.000919,            0.000919,            0.000919
