               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051179,            0.014756,            0.018004,             0.70837,             0.44163,             0.48086,             0.26165,            0.040637,           0.0092439,             0.01334,            0.067019,          0.00033315,          0.00033315
                   1,            0.045498,            0.014149,            0.013375,             0.76225,             0.49822,             0.56988,             0.33458,            0.037213,           0.0089413,            0.009217,            0.034013,          0.00066048,          0.00066048
                   2,            0.042847,            0.013866,            0.011612,             0.68233,               0.678,             0.70212,             0.46532,            0.031055,           0.0078733,           0.0067594,           0.0010006,          0.00098182,          0.00098182
                   3,            0.040156,            0.013133,             0.01019,             0.77821,             0.72247,             0.77692,             0.54387,            0.027869,            0.007447,           0.0047735,            0.000973,            0.000973,            0.000973
                   4,            0.037789,            0.012504,           0.0086925,              0.7857,             0.75776,             0.81534,             0.58439,            0.026386,           0.0073007,           0.0045173,            0.000973,            0.000973,            0.000973
                   5,            0.036458,             0.01211,           0.0078832,             0.82842,             0.77833,             0.83267,             0.61366,            0.025571,           0.0070058,           0.0040669,            0.000964,            0.000964,            0.000964
                   6,            0.035374,            0.012023,           0.0073139,             0.81886,             0.78683,              0.8378,             0.62267,            0.024824,           0.0068919,           0.0035692,            0.000955,            0.000955,            0.000955
                   7,            0.034712,            0.011725,           0.0069237,             0.84098,             0.80171,             0.85242,              0.6468,            0.023848,           0.0067927,           0.0033082,            0.000946,            0.000946,            0.000946
                   8,            0.034125,            0.011714,           0.0065372,             0.83561,             0.81212,             0.86265,             0.65381,            0.023697,           0.0065705,           0.0032287,            0.000937,            0.000937,            0.000937
                   9,            0.033666,            0.011546,           0.0062059,             0.85783,             0.81952,             0.87327,             0.67599,            0.022708,           0.0063934,           0.0025517,            0.000928,            0.000928,            0.000928
                  10,            0.032806,            0.011322,           0.0059303,             0.86285,             0.82953,             0.88361,             0.68885,            0.022308,           0.0061854,           0.0024211,            0.000919,            0.000919,            0.000919
                  11,            0.032574,            0.011205,           0.0058097,             0.86178,             0.83561,             0.88506,             0.69124,            0.022151,           0.0061741,           0.0023052,             0.00091,             0.00091,             0.00091
                  12,            0.032322,            0.010958,           0.0055507,             0.87497,             0.81968,             0.88518,             0.69779,            0.021358,           0.0060297,           0.0021615,            0.000901,            0.000901,            0.000901
                  13,            0.031744,            0.010953,           0.0054884,             0.87643,             0.84128,             0.89514,             0.71118,            0.021176,           0.0059469,           0.0021024,            0.000892,            0.000892,            0.000892
                  14,            0.031369,            0.010791,           0.0052448,             0.87522,             0.84261,             0.89786,             0.71349,            0.021074,           0.0059079,           0.0019391,            0.000883,            0.000883,            0.000883
                  15,            0.031151,            0.010757,            0.005088,             0.87587,             0.84812,             0.90203,             0.72295,            0.020592,           0.0058098,           0.0018642,            0.000874,            0.000874,            0.000874
                  16,            0.030587,            0.010543,            0.004771,             0.87852,             0.85942,             0.90464,             0.73016,            0.020369,           0.0058021,           0.0016464,            0.000865,            0.000865,            0.000865
                  17,            0.030672,            0.010458,           0.0047684,             0.88091,             0.85846,             0.90905,             0.73556,            0.020063,           0.0057516,           0.0017042,            0.000856,            0.000856,            0.000856
                  18,            0.030352,            0.010567,           0.0046365,             0.88728,              0.8623,             0.91064,             0.73756,            0.019747,           0.0057146,           0.0016893,            0.000847,            0.000847,            0.000847
                  19,             0.03018,            0.010427,           0.0043842,              0.8907,             0.85652,             0.91124,             0.74298,            0.019615,           0.0056465,           0.0015706,            0.000838,            0.000838,            0.000838
                  20,            0.029786,            0.010339,           0.0044197,             0.88659,             0.86663,              0.9135,             0.74744,            0.019391,           0.0055724,           0.0014546,            0.000829,            0.000829,            0.000829
                  21,            0.029639,             0.01036,           0.0042318,             0.89032,             0.87137,             0.91673,             0.75176,            0.019204,           0.0055204,           0.0013698,             0.00082,             0.00082,             0.00082
                  22,            0.029431,            0.010134,           0.0041694,             0.89076,             0.87285,             0.91836,             0.75612,            0.018973,           0.0054621,           0.0014507,            0.000811,            0.000811,            0.000811
                  23,            0.029105,            0.010085,            0.004104,             0.88941,             0.87939,             0.92011,             0.75941,            0.018849,           0.0054382,           0.0013876,            0.000802,            0.000802,            0.000802
                  24,            0.028752,            0.009968,           0.0039373,             0.88528,             0.88527,             0.92312,             0.76107,            0.018797,           0.0054024,           0.0013741,            0.000793,            0.000793,            0.000793
                  25,            0.028535,           0.0099084,           0.0038182,              0.8933,             0.87928,             0.92334,             0.76339,            0.018678,           0.0053809,            0.001412,            0.000784,            0.000784,            0.000784
                  26,            0.028408,            0.009996,           0.0038792,             0.89284,             0.88551,             0.92458,             0.76633,            0.018561,           0.0053545,           0.0013115,            0.000775,            0.000775,            0.000775
                  27,            0.028468,           0.0098187,           0.0039291,             0.89975,             0.87901,             0.92512,             0.76813,            0.018438,           0.0053502,           0.0012115,            0.000766,            0.000766,            0.000766
                  28,            0.028093,           0.0097037,           0.0036456,             0.89472,             0.88353,             0.92609,             0.76988,             0.01835,           0.0053522,           0.0011906,            0.000757,            0.000757,            0.000757
                  29,            0.027825,            0.009737,            0.003602,             0.88678,             0.89384,             0.92678,              0.7706,            0.018233,           0.0053469,           0.0011692,            0.000748,            0.000748,            0.000748
                  30,            0.027657,           0.0096639,           0.0035706,              0.8899,             0.89259,             0.92778,              0.7729,             0.01814,           0.0053209,           0.0011396,            0.000739,            0.000739,            0.000739
                  31,             0.02768,           0.0096968,           0.0034925,             0.89401,             0.88928,               0.929,             0.77478,            0.018054,           0.0052975,           0.0011278,             0.00073,             0.00073,             0.00073
                  32,            0.027567,           0.0097584,           0.0034046,              0.8986,             0.88788,              0.9302,             0.77591,            0.017968,           0.0052842,           0.0011383,            0.000721,            0.000721,            0.000721
                  33,            0.027273,           0.0095384,           0.0032481,             0.89748,             0.88932,             0.93047,              0.7767,            0.017874,            0.005272,           0.0011401,            0.000712,            0.000712,            0.000712
                  34,            0.027194,           0.0093956,           0.0032887,             0.90046,             0.88802,               0.931,              0.7776,            0.017812,           0.0052613,           0.0011516,            0.000703,            0.000703,            0.000703
                  35,            0.026928,            0.009321,            0.003302,             0.89761,              0.8935,             0.93173,             0.77874,            0.017783,           0.0052505,           0.0011473,            0.000694,            0.000694,            0.000694
                  36,            0.026825,           0.0093767,           0.0032126,             0.89889,             0.89459,             0.93236,             0.77994,             0.01775,           0.0052348,           0.0011429,            0.000685,            0.000685,            0.000685
                  37,            0.026552,           0.0092415,           0.0030809,             0.90309,             0.89282,             0.93316,             0.78086,            0.017711,           0.0052199,           0.0011391,            0.000676,            0.000676,            0.000676
                  38,            0.026519,           0.0092681,           0.0030055,             0.90449,             0.89089,             0.93384,             0.78205,            0.017687,           0.0052043,           0.0011356,            0.000667,            0.000667,            0.000667
                  39,            0.026434,           0.0092871,           0.0030541,             0.90396,             0.89168,             0.93425,             0.78312,            0.017654,           0.0051923,           0.0011252,            0.000658,            0.000658,            0.000658
                  40,            0.026384,           0.0092538,           0.0028552,             0.90437,             0.89248,             0.93443,             0.78399,            0.017625,           0.0051811,           0.0011263,            0.000649,            0.000649,            0.000649
                  41,            0.026383,           0.0091893,           0.0029177,             0.90509,             0.89339,              0.9345,             0.78459,            0.017611,           0.0051708,           0.0011306,             0.00064,             0.00064,             0.00064
                  42,            0.026115,           0.0092208,            0.002953,              0.9079,             0.89208,             0.93481,             0.78534,            0.017586,           0.0051624,           0.0011324,            0.000631,            0.000631,            0.000631
                  43,            0.025849,           0.0090468,             0.00284,             0.90875,             0.89152,             0.93539,              0.7865,            0.017552,           0.0051524,           0.0011285,            0.000622,            0.000622,            0.000622
                  44,              0.0258,           0.0091541,           0.0026991,             0.90977,             0.89164,             0.93576,             0.78713,            0.017522,           0.0051417,           0.0011273,            0.000613,            0.000613,            0.000613
                  45,            0.025672,            0.008874,           0.0027079,              0.9087,             0.89289,             0.93611,             0.78796,            0.017492,            0.005133,           0.0011263,            0.000604,            0.000604,            0.000604
                  46,            0.025336,           0.0089223,           0.0027466,             0.90887,             0.89373,             0.93684,             0.78863,            0.017459,           0.0051242,           0.0011203,            0.000595,            0.000595,            0.000595
                  47,            0.025463,           0.0090192,           0.0026762,             0.90938,             0.89515,             0.93716,             0.78946,            0.017429,           0.0051165,           0.0011141,            0.000586,            0.000586,            0.000586
                  48,            0.025423,           0.0088788,           0.0026198,             0.90663,             0.89909,             0.93755,             0.78977,            0.017405,           0.0051096,           0.0011054,            0.000577,            0.000577,            0.000577
                  49,            0.024765,            0.008692,           0.0025476,             0.90582,             0.90116,             0.93831,              0.7904,            0.017382,           0.0051002,           0.0010962,            0.000568,            0.000568,            0.000568
                  50,            0.024933,           0.0087887,           0.0025443,             0.90836,             0.89818,              0.9386,             0.79122,             0.01735,           0.0050918,           0.0010867,            0.000559,            0.000559,            0.000559
                  51,            0.024777,           0.0086743,           0.0023585,              0.9087,             0.89863,             0.93869,             0.79189,            0.017326,           0.0050842,           0.0010743,             0.00055,             0.00055,             0.00055
                  52,            0.024748,           0.0088701,           0.0024999,             0.91005,              0.8972,             0.93871,             0.79241,            0.017306,           0.0050755,           0.0010642,            0.000541,            0.000541,            0.000541
                  53,            0.024562,           0.0086672,           0.0024916,             0.91059,             0.89717,             0.93942,             0.79365,            0.017282,           0.0050659,           0.0010572,            0.000532,            0.000532,            0.000532
                  54,            0.024927,           0.0086232,           0.0024645,             0.91219,             0.89712,             0.94013,             0.79449,            0.017257,           0.0050574,           0.0010503,            0.000523,            0.000523,            0.000523
                  55,            0.024557,           0.0085888,           0.0023805,             0.91475,              0.8966,             0.94043,             0.79553,             0.01723,           0.0050478,           0.0010476,            0.000514,            0.000514,            0.000514
                  56,            0.024378,           0.0086317,           0.0023255,             0.91504,              0.8973,             0.94079,             0.79594,            0.017205,           0.0050373,           0.0010437,            0.000505,            0.000505,            0.000505
                  57,            0.024632,           0.0086203,           0.0024389,             0.91396,             0.89825,             0.94104,             0.79648,            0.017179,           0.0050289,           0.0010378,            0.000496,            0.000496,            0.000496
                  58,              0.0244,           0.0085311,           0.0022689,             0.91416,             0.89852,             0.94121,             0.79717,            0.017152,           0.0050224,           0.0010347,            0.000487,            0.000487,            0.000487
                  59,            0.024052,           0.0084825,           0.0022646,             0.91475,             0.89907,             0.94131,             0.79768,            0.017127,           0.0050143,           0.0010324,            0.000478,            0.000478,            0.000478
                  60,            0.024076,           0.0085018,           0.0022141,             0.91463,             0.90059,             0.94171,             0.79843,            0.017104,           0.0050068,            0.001024,            0.000469,            0.000469,            0.000469
                  61,            0.023976,            0.008483,           0.0022005,             0.91504,             0.90088,              0.9418,             0.79871,             0.01708,           0.0049989,           0.0010188,             0.00046,             0.00046,             0.00046
                  62,            0.023758,           0.0083192,           0.0022361,              0.9168,             0.90019,             0.94217,             0.79953,            0.017056,           0.0049923,           0.0010147,            0.000451,            0.000451,            0.000451
                  63,            0.024042,           0.0085726,           0.0022148,              0.9171,             0.90002,             0.94262,             0.80016,            0.017036,           0.0049853,           0.0010106,            0.000442,            0.000442,            0.000442
                  64,            0.023769,           0.0084299,           0.0021451,             0.91769,              0.9003,             0.94283,             0.80084,            0.017013,           0.0049774,            0.001004,            0.000433,            0.000433,            0.000433
                  65,            0.023577,            0.008382,           0.0020795,             0.91702,             0.90107,             0.94295,             0.80105,            0.016995,           0.0049707,          0.00099864,            0.000424,            0.000424,            0.000424
                  66,            0.023325,           0.0083362,           0.0019799,             0.91624,             0.90172,             0.94343,             0.80191,            0.016974,           0.0049622,          0.00099563,            0.000415,            0.000415,            0.000415
                  67,            0.023428,           0.0082431,           0.0020861,             0.91623,             0.90245,             0.94368,             0.80235,            0.016948,           0.0049538,          0.00099439,            0.000406,            0.000406,            0.000406
                  68,            0.023113,           0.0082362,           0.0019952,             0.91622,              0.9037,             0.94424,             0.80297,            0.016925,           0.0049477,          0.00099048,            0.000397,            0.000397,            0.000397
                  69,            0.023135,           0.0081927,            0.002028,             0.91545,             0.90375,             0.94445,             0.80372,             0.01691,            0.004942,            0.000985,            0.000388,            0.000388,            0.000388
                  70,            0.023191,           0.0081504,           0.0020211,             0.91466,             0.90477,             0.94464,             0.80453,            0.016889,           0.0049356,          0.00097911,            0.000379,            0.000379,            0.000379
