                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3407,                 1.6762,                 1.4576,                0.74491,                0.67792,                0.74519,                0.51701,                 1.0175,                 1.1006,                 1.1624,               0.067008,             0.00033326,             0.00033326
                      1,                 1.2557,                 1.4227,                 1.4004,                0.82164,                0.76183,                0.84081,                0.63354,                0.82041,                0.78405,                 1.0662,               0.034001,             0.00065999,             0.00065999
                      2,                 1.1681,                 1.2578,                 1.3421,                0.87056,                0.79369,                0.87886,                0.69013,                0.73712,                0.66227,                 1.0133,             0.00098785,             0.00098012,             0.00098012
                      3,                 1.1055,                 1.1324,                 1.3019,                0.89196,                0.82651,                0.90167,                0.72427,                0.67517,                0.57083,                0.98046,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.0506,                 1.0331,                 1.2641,                0.89994,                0.83594,                0.91423,                0.75454,                0.62518,                0.51034,                0.95635,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0128,                0.96948,                 1.2399,                0.91767,                0.84691,                0.92597,                0.77195,                0.60031,                 0.4661,                0.94374,              0.0009604,              0.0009604,              0.0009604
                      6,                0.97714,                0.91909,                 1.2166,                0.91494,                0.85401,                0.93029,                0.78339,                0.57931,                0.44236,                0.93402,              0.0009505,              0.0009505,              0.0009505
                      7,                0.95209,                0.87987,                 1.2001,                 0.9266,                0.87187,                0.93783,                 0.7975,                0.55335,                0.40919,                0.91611,              0.0009406,              0.0009406,              0.0009406
                      8,                0.92702,                0.84607,                 1.1853,                0.92719,                0.87583,                0.94154,                0.80488,                 0.5394,                0.38962,                0.90674,              0.0009307,              0.0009307,              0.0009307
                      9,                0.90736,                0.82162,                 1.1718,                0.93481,                0.88013,                0.94438,                0.81295,                0.52565,                0.37329,                0.89875,              0.0009208,              0.0009208,              0.0009208
                     10,                0.89185,                0.79632,                 1.1599,                0.93154,                 0.8898,                0.94878,                0.81907,                0.51449,                 0.3587,                0.89302,              0.0009109,              0.0009109,              0.0009109
                     11,                0.87483,                0.77394,                 1.1513,                0.93125,                 0.8953,                 0.9513,                0.82452,                0.50405,                0.34516,                0.88656,               0.000901,               0.000901,               0.000901
                     12,                0.86084,                0.75674,                 1.1438,                0.93692,                0.89216,                0.95327,                0.82865,                0.50024,                 0.3376,                0.88397,              0.0008911,              0.0008911,              0.0008911
                     13,                 0.8486,                0.74267,                 1.1365,                0.94053,                0.89399,                0.95426,                0.83102,                 0.4964,                0.32893,                0.88174,              0.0008812,              0.0008812,              0.0008812
                     14,                0.83908,                0.72542,                 1.1269,                0.94562,                0.89326,                0.95587,                0.83384,                0.49142,                0.32306,                0.87902,              0.0008713,              0.0008713,              0.0008713
                     15,                0.82525,                0.70862,                 1.1199,                0.94114,                0.90187,                0.95717,                0.83565,                0.48681,                0.31865,                0.87603,              0.0008614,              0.0008614,              0.0008614
                     16,                0.81503,                0.69581,                 1.1148,                0.94199,                0.90153,                0.95752,                0.83741,                0.48387,                0.31498,                0.87395,              0.0008515,              0.0008515,              0.0008515
                     17,                0.80681,                0.68128,                 1.1091,                0.94254,                0.90322,                0.95801,                0.83903,                0.48081,                0.31138,                0.87213,              0.0008416,              0.0008416,              0.0008416
                     18,                0.79642,                0.66967,                 1.1016,                0.94067,                0.90697,                0.95851,                0.84082,                 0.4782,                0.30831,                0.87079,              0.0008317,              0.0008317,              0.0008317
                     19,                 0.7915,                0.66406,                 1.0987,                0.94244,                0.90771,                0.95939,                0.84222,                0.47566,                0.30552,                0.86914,              0.0008218,              0.0008218,              0.0008218
                     20,                0.78784,                0.65897,                 1.0997,                0.94375,                0.90851,                0.96038,                0.84379,                0.47349,                0.30278,                0.86798,              0.0008119,              0.0008119,              0.0008119
                     21,                0.77304,                0.64457,                 1.0882,                0.94874,                0.90663,                0.96129,                0.84495,                0.47122,                0.29986,                0.86649,               0.000802,               0.000802,               0.000802
                     22,                0.77362,                0.64334,                 1.0886,                 0.9466,                0.90996,                0.96166,                0.84615,                0.46935,                0.29728,                 0.8651,              0.0007921,              0.0007921,              0.0007921
                     23,                 0.7656,                0.63046,                 1.0826,                 0.9472,                0.91015,                0.96213,                0.84755,                0.46743,                0.29488,                0.86381,              0.0007822,              0.0007822,              0.0007822
                     24,                0.76031,                0.62265,                 1.0813,                0.94786,                0.91232,                0.96289,                0.84889,                0.46519,                0.29254,                 0.8627,              0.0007723,              0.0007723,              0.0007723
                     25,                0.75363,                0.61803,                 1.0767,                0.94832,                0.91349,                0.96364,                0.85005,                0.46318,                0.29026,                0.86153,              0.0007624,              0.0007624,              0.0007624
                     26,                0.74266,                0.61285,                 1.0727,                0.94819,                0.91495,                0.96408,                0.85111,                0.46144,                0.28818,                0.86035,              0.0007525,              0.0007525,              0.0007525
                     27,                0.74133,                0.60392,                 1.0711,                0.94987,                0.91544,                0.96462,                0.85244,                0.45938,                0.28616,                0.85911,              0.0007426,              0.0007426,              0.0007426
                     28,                0.73816,                0.60026,                 1.0699,                0.95249,                0.91398,                0.96527,                0.85384,                0.45741,                0.28466,                0.85809,              0.0007327,              0.0007327,              0.0007327
