                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4175,                 1.8943,                 1.5631,                0.65459,                 0.6476,                0.68446,                0.48399,                0.98986,                 1.2251,                   1.18,               0.067005,             0.00033328,             0.00033328
                      1,                 1.2849,                 1.5526,                  1.473,                0.80852,                0.72998,                0.82028,                0.62869,                0.79439,                0.82475,                 1.0658,               0.033998,             0.00066002,             0.00066002
                      2,                 1.1769,                  1.327,                 1.3929,                0.86197,                0.78014,                0.86619,                0.69186,                0.70095,                 0.6562,                 1.0201,              0.0009853,             0.00098015,             0.00098015
                      3,                 1.1006,                 1.1694,                 1.3457,                0.87144,                0.81823,                0.88965,                0.72243,                 0.6627,                0.57262,                0.98829,              0.0009703,              0.0009703,              0.0009703
                      4,                   1.05,                 1.0675,                 1.3088,                0.88539,                0.83207,                0.90404,                0.74282,                0.62695,                0.51777,                 0.9648,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0097,                  1.001,                  1.284,                0.91025,                0.84546,                0.91759,                0.76843,                 0.5833,                0.46646,                0.94502,              0.0009604,              0.0009604,              0.0009604
                      6,                0.97639,                0.94726,                 1.2604,                0.91481,                  0.851,                0.92542,                0.77857,                0.56843,                0.43904,                0.93406,              0.0009505,              0.0009505,              0.0009505
                      7,                0.94671,                0.90216,                 1.2376,                0.91838,                0.86582,                0.93249,                0.78921,                0.55706,                0.41013,                0.92722,              0.0009406,              0.0009406,              0.0009406
                      8,                 0.9247,                0.86682,                 1.2243,                0.92475,                0.86956,                0.93689,                0.79769,                0.54086,                0.39271,                0.91944,              0.0009307,              0.0009307,              0.0009307
                      9,                0.90379,                0.83582,                 1.2067,                0.92733,                0.87157,                   0.94,                0.80493,                0.52829,                0.37636,                0.90927,              0.0009208,              0.0009208,              0.0009208
                     10,                0.88391,                0.81272,                 1.1938,                0.93318,                0.87443,                0.94261,                0.81035,                0.51993,                0.36382,                0.90587,              0.0009109,              0.0009109,              0.0009109
                     11,                0.86483,                0.78596,                 1.1855,                0.93214,                0.87984,                0.94549,                0.81559,                0.50958,                 0.3497,                0.89873,               0.000901,               0.000901,               0.000901
                     12,                0.84961,                0.76107,                 1.1746,                 0.9328,                0.88802,                0.94857,                0.81952,                0.50435,                0.34022,                0.89591,              0.0008911,              0.0008911,              0.0008911
                     13,                0.83599,                0.74851,                 1.1657,                 0.9393,                0.89089,                0.95094,                0.82307,                0.49682,                0.33221,                  0.891,              0.0008812,              0.0008812,              0.0008812
                     14,                0.82916,                 0.7264,                 1.1569,                0.93786,                0.89556,                0.95231,                0.82666,                0.49177,                0.32472,                0.88781,              0.0008713,              0.0008713,              0.0008713
                     15,                0.81464,                0.70981,                 1.1498,                0.94137,                 0.8949,                0.95359,                0.82889,                0.48884,                0.31983,                0.88574,              0.0008614,              0.0008614,              0.0008614
                     16,                0.80227,                0.69693,                 1.1418,                0.93968,                0.90005,                0.95477,                0.83077,                0.48561,                 0.3151,                0.88383,              0.0008515,              0.0008515,              0.0008515
                     17,                0.79629,                0.68968,                 1.1369,                0.94212,                 0.9011,                0.95549,                0.83261,                0.48365,                0.31174,                0.88254,              0.0008416,              0.0008416,              0.0008416
                     18,                0.78631,                0.67827,                 1.1316,                0.94464,                    0.9,                0.95657,                0.83414,                0.48123,                0.30824,                0.88133,              0.0008317,              0.0008317,              0.0008317
                     19,                0.77911,                 0.6685,                 1.1278,                0.94524,                0.90099,                0.95703,                0.83596,                0.47904,                0.30488,                0.87997,              0.0008218,              0.0008218,              0.0008218
                     20,                0.76913,                 0.6518,                  1.123,                0.94697,                0.90185,                0.95808,                0.83767,                0.47655,                0.30172,                0.87839,              0.0008119,              0.0008119,              0.0008119
                     21,                0.76505,                0.64515,                 1.1191,                0.94792,                0.90179,                0.95856,                0.83968,                 0.4739,                0.29889,                0.87682,               0.000802,               0.000802,               0.000802
                     22,                0.75625,                0.63442,                 1.1121,                 0.9488,                0.90364,                0.95945,                0.84122,                0.47148,                  0.296,                0.87525,              0.0007921,              0.0007921,              0.0007921
                     23,                0.74556,                0.62519,                 1.1069,                0.95065,                0.90403,                0.96039,                0.84258,                0.46939,                0.29332,                0.87382,              0.0007822,              0.0007822,              0.0007822
                     24,                0.74227,                0.62104,                 1.1012,                 0.9512,                0.90576,                0.96104,                0.84418,                0.46748,                0.29057,                0.87224,              0.0007723,              0.0007723,              0.0007723
                     25,                0.73787,                0.60883,                 1.1026,                0.95238,                0.90703,                0.96174,                0.84541,                0.46563,                0.28814,                0.87091,              0.0007624,              0.0007624,              0.0007624
                     26,                0.73274,                0.60625,                 1.0983,                0.95241,                0.90824,                0.96227,                0.84716,                0.46336,                0.28598,                0.86938,              0.0007525,              0.0007525,              0.0007525
                     27,                0.73152,                0.60254,                 1.0951,                0.95296,                0.90879,                0.96288,                0.84837,                0.46084,                0.28362,                0.86755,              0.0007426,              0.0007426,              0.0007426
                     28,                0.72367,                0.59626,                 1.0936,                0.95303,                0.91065,                0.96337,                0.84947,                0.45879,                0.28144,                0.86634,              0.0007327,              0.0007327,              0.0007327
                     29,                0.71989,                0.58605,                 1.0885,                0.95284,                0.91288,                0.96396,                0.85058,                0.45726,                0.27936,                 0.8651,              0.0007228,              0.0007228,              0.0007228
                     30,                  0.712,                0.57795,                 1.0797,                0.95456,                0.91293,                0.96471,                0.85246,                 0.4556,                0.27734,                 0.8639,              0.0007129,              0.0007129,              0.0007129
                     31,                0.70859,                0.57269,                 1.0806,                0.95572,                0.91351,                0.96531,                0.85388,                0.45351,                0.27523,                 0.8625,               0.000703,               0.000703,               0.000703
                     32,                0.70599,                0.56972,                 1.0777,                0.95704,                0.91314,                0.96607,                 0.8551,                0.45147,                0.27295,                0.86132,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.6976,                0.56387,                 1.0741,                0.95602,                0.91503,                 0.9669,                0.85635,                0.44967,                 0.2712,                0.85985,              0.0006832,              0.0006832,              0.0006832
                     34,                0.69606,                0.56034,                  1.075,                0.95699,                0.91515,                0.96736,                 0.8574,                0.44786,                0.26898,                0.85868,              0.0006733,              0.0006733,              0.0006733
                     35,                0.69239,                0.55615,                  1.072,                0.95624,                0.91652,                0.96784,                0.85902,                0.44594,                0.26655,                0.85742,              0.0006634,              0.0006634,              0.0006634
                     36,                0.69169,                0.55197,                 1.0736,                0.95733,                0.91798,                0.96835,                0.85988,                 0.4442,                0.26447,                0.85629,              0.0006535,              0.0006535,              0.0006535
                     37,                0.68836,                0.54619,                 1.0641,                0.95616,                 0.9202,                0.96875,                0.86111,                0.44245,                 0.2629,                0.85493,              0.0006436,              0.0006436,              0.0006436
                     38,                0.68191,                0.53892,                 1.0649,                0.95612,                0.92212,                0.96929,                0.86224,                0.44048,                0.26082,                0.85347,              0.0006337,              0.0006337,              0.0006337
                     39,                0.67943,                 0.5366,                 1.0656,                0.95657,                0.92293,                0.96984,                0.86347,                0.43852,                0.25912,                0.85231,              0.0006238,              0.0006238,              0.0006238
                     40,                0.67916,                0.53167,                  1.061,                0.95601,                0.92631,                0.97027,                0.86468,                0.43673,                0.25724,                0.85113,              0.0006139,              0.0006139,              0.0006139
                     41,                0.66986,                0.52353,                 1.0582,                0.95698,                0.92624,                0.97078,                0.86577,                 0.4352,                0.25526,                   0.85,               0.000604,               0.000604,               0.000604
                     42,                0.66861,                0.52304,                 1.0611,                0.95877,                0.92554,                0.97122,                0.86688,                0.43356,                 0.2532,                0.84911,              0.0005941,              0.0005941,              0.0005941
                     43,                0.66686,                0.51727,                 1.0561,                0.96107,                0.92546,                0.97183,                0.86786,                0.43153,                0.25143,                0.84798,              0.0005842,              0.0005842,              0.0005842
                     44,                0.66344,                0.51468,                 1.0562,                0.96122,                0.92595,                0.97231,                0.86886,                0.43009,                0.24995,                0.84689,              0.0005743,              0.0005743,              0.0005743
                     45,                0.66162,                0.51466,                 1.0523,                0.96369,                0.92505,                0.97282,                0.87019,                0.42819,                0.24774,                0.84564,              0.0005644,              0.0005644,              0.0005644
                     46,                0.66002,                0.50939,                 1.0516,                0.96215,                0.92718,                0.97307,                0.87145,                0.42634,                0.24607,                0.84437,              0.0005545,              0.0005545,              0.0005545
                     47,                0.65701,                0.50837,                 1.0505,                0.96277,                0.92835,                0.97355,                0.87216,                0.42449,                0.24467,                0.84316,              0.0005446,              0.0005446,              0.0005446
