                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,1.3515,1.7517,1.4959,0.71628,0.63316,0.70064,0.49146,0.97017,1.1796,1.1827,0.06701,0.00033323,0.00033323
1,1.2713,1.4938,1.436,0.79394,0.72745,0.80869,0.61245,0.82973,0.86122,1.0884,0.034008,0.00066436,0.00066436
2,1.1727,1.2916,1.37,0.84611,0.79177,0.86637,0.68064,0.71882,0.66612,1.0216,0.0010036,0.0009933,0.0009933
3,1.0959,1.1479,1.3193,0.88243,0.81613,0.8938,0.72744,0.65035,0.5658,0.98627,0.0009901,0.0009901,0.0009901
4,1.0481,1.0545,1.2895,0.90268,0.83987,0.91324,0.75275,0.61442,0.50691,0.95675,0.0009901,0.0009901,0.0009901
5,1.0063,0.98252,1.2601,0.91112,0.84501,0.92091,0.76876,0.58476,0.469,0.94514,0.0009868,0.0009868,0.0009868
6,0.97121,0.93498,1.2403,0.92131,0.85929,0.93152,0.78762,0.55654,0.42211,0.92798,0.0009835,0.0009835,0.0009835
7,0.93915,0.88015,1.2162,0.9233,0.87838,0.93876,0.80014,0.53875,0.39683,0.92002,0.0009802,0.0009802,0.0009802
8,0.92386,0.85014,1.2041,0.92638,0.87652,0.94099,0.80677,0.52184,0.37934,0.91092,0.0009769,0.0009769,0.0009769
9,0.90226,0.82761,1.1921,0.92852,0.88662,0.94553,0.81436,0.50973,0.35867,0.90134,0.0009736,0.0009736,0.0009736
10,0.87704,0.79536,1.1741,0.93601,0.88641,0.94824,0.8207,0.50198,0.347,0.89728,0.0009703,0.0009703,0.0009703
11,0.86275,0.77537,1.1633,0.93401,0.89656,0.95225,0.82666,0.49039,0.33159,0.88879,0.000967,0.000967,0.000967
12,0.85261,0.76047,1.1604,0.93824,0.90043,0.95479,0.83136,0.48159,0.31982,0.88483,0.0009637,0.0009637,0.0009637
13,0.83798,0.73589,1.1502,0.94392,0.89923,0.95555,0.83379,0.47674,0.31515,0.88138,0.0009604,0.0009604,0.0009604
14,0.82889,0.71911,1.1415,0.93773,0.9081,0.95764,0.83635,0.47423,0.30853,0.87961,0.0009571,0.0009571,0.0009571
15,0.81886,0.70523,1.1349,0.94053,0.90665,0.95835,0.83876,0.4708,0.30205,0.87792,0.0009538,0.0009538,0.0009538
16,0.81167,0.70005,1.1278,0.94313,0.90792,0.95933,0.84166,0.4677,0.2963,0.87549,0.0009505,0.0009505,0.0009505
17,0.80283,0.68527,1.1246,0.94313,0.91076,0.96022,0.84345,0.46541,0.29265,0.87361,0.0009472,0.0009472,0.0009472
18,0.79256,0.67354,1.1178,0.94312,0.91381,0.96089,0.84514,0.46296,0.28952,0.87193,0.0009439,0.0009439,0.0009439
19,0.78511,0.66187,1.1108,0.94362,0.915,0.96173,0.84626,0.46071,0.28731,0.8702,0.0009406,0.0009406,0.0009406
20,0.78054,0.65609,1.1079,0.944,0.91519,0.96235,0.84813,0.4588,0.28451,0.86866,0.0009373,0.0009373,0.0009373
21,0.77357,0.64493,1.1072,0.9451,0.91589,0.96296,0.84935,0.45714,0.28212,0.8678,0.000934,0.000934,0.000934
22,0.76341,0.63906,1.1037,0.94619,0.91579,0.96378,0.85076,0.45519,0.28022,0.86668,0.0009307,0.0009307,0.0009307
